EQx       EQy       EQz       Vel       OriginTime   
2.5572    2.1505   -1.6934    7.0000    0.0752
2.8570    2.4071   -2.0617    6.9856    0.0041
2.7253    2.2972   -1.9053    7.0000    0.0357
2.6671    2.2638   -1.8488    6.9998    0.0467
2.9277    2.4610   -2.6192    6.5486   -0.0944
2.8378    2.3934   -2.1820    6.8646   -0.0134
2.8777    2.4299   -2.1297    6.9545   -0.0072
2.8350    2.3971   -2.0534    6.9861    0.0073
2.8262    2.3837   -2.1411    6.8886   -0.0063
2.8452    2.4066   -2.3663    6.7038   -0.0453
2.6530    2.2228   -1.8117    6.9920    0.0532
2.9017    2.4518   -2.4280    6.7067   -0.0584
2.9452    2.4854   -2.5483    6.6352   -0.0826
2.6655    2.2472   -1.8434    7.0000    0.0485
2.8173    2.3778   -2.0549    6.9642    0.0082
2.6509    2.2319   -1.8189    7.0000    0.0528
2.9438    2.4888   -2.3081    6.8544   -0.0402
2.9385    2.4786   -2.5842    6.6070   -0.0871
2.9427    2.4788   -2.7328    6.4653   -0.1166
2.7444    2.3136   -1.9242    6.9999    0.0314
2.4160    2.0227   -1.4879    7.0000    0.1097
2.9125    2.4561   -2.3693    6.7585   -0.0494
2.9999    2.5417   -2.9746    6.3341   -0.1650
2.6079    2.2062   -1.7678    6.9991    0.0618
2.7263    2.3021   -1.9205    7.0000    0.0340
2.7621    2.3266   -1.9388    6.9943    0.0277
2.6382    2.2180   -1.7408    6.9998    0.0594
2.8133    2.3738   -2.0982    6.9128    0.0008
2.8602    2.4111   -2.2118    6.8683   -0.0184
2.9185    2.4647   -2.2622    6.8625   -0.0318
2.6108    2.2056   -1.7750    6.9959    0.0602
2.9860    2.5281   -2.4728    6.7442   -0.0713
2.7829    2.3452   -1.9816    6.9987    0.0217
2.7727    2.3356   -1.9855    6.9843    0.0217
2.8576    2.4084   -2.2642    6.8006   -0.0285
2.4913    2.0983   -1.6277    6.9985    0.0887
2.9327    2.4804   -2.1776    6.9715   -0.0176
2.6051    2.1944   -1.7746    7.0000    0.0618
2.9610    2.5045   -2.9169    6.3362   -0.1530
2.8260    2.3845   -2.1479    6.8828   -0.0075
2.3994    2.0452   -1.4735    7.0000    0.1105
2.6306    2.2150   -1.8223    6.9970    0.0548
3.0000    2.5388   -2.6501    6.6243   -0.1007
2.8579    2.4097   -2.2697    6.8059   -0.0288
2.8461    2.4106   -2.2780    6.7828   -0.0306
2.8712    2.4225   -2.1532    6.9195   -0.0113
2.8695    2.4221   -2.1022    6.9641   -0.0034
2.7369    2.2987   -1.8985    6.9995    0.0350
2.6905    2.2671   -1.8704    7.0000    0.0432
2.8707    2.4206   -2.2802    6.7964   -0.0325
